Source,Target,Type,id,label,timeset,weight
11476,11263,Undirected,239781,,,51
12300,12304,Undirected,235059,,,51
10472,10539,Undirected,228613,,,50
10504,11469,Undirected,231088,,,50
10530,10532,Undirected,227944,,,50
10534,10829,Undirected,225473,,,50
10535,10594,Undirected,228208,,,50
10535,10744,Undirected,228214,,,50
10539,10844,Undirected,225421,,,50
10558,10602,Undirected,228305,,,50
10571,11108,Undirected,227928,,,50
10573,12290,Undirected,235048,,,50
10620,10906,Undirected,229257,,,50
10679,10811,Undirected,232696,,,50
10849,10532,Undirected,225590,,,50
10907,10622,Undirected,238809,,,50
10923,10532,Undirected,238532,,,50
11269,10607,Undirected,234783,,,50
11364,10535,Undirected,232375,,,50
11379,11469,Undirected,240390,,,50
11885,11674,Undirected,243800,,,50
12300,11821,Undirected,235060,,,50
10532,10749,Undirected,228342,,,49
10541,10839,Undirected,225426,,,49
10656,10843,Undirected,233509,,,49
10679,10810,Undirected,241598,,,49
10803,10805,Undirected,225229,,,49
10827,10547,Undirected,228558,,,49
10844,10547,Undirected,228640,,,49
10994,10602,Undirected,229834,,,49
11375,10541,Undirected,231716,,,49
11752,11755,Undirected,230607,,,49
12299,12300,Undirected,235077,,,49
10521,10522,Undirected,254961,,,48
10532,10892,Undirected,226054,,,48
10534,10476,Undirected,224287,,,48
10535,10602,Undirected,228216,,,48
10557,10535,Undirected,229388,,,48
10558,10594,Undirected,228308,,,48
10560,11269,Undirected,234759,,,48
10570,11996,Undirected,246248,,,48
10620,10907,Undirected,229223,,,48
10620,10908,Undirected,229219,,,48
10620,11149,Undirected,229224,,,48
10658,11996,Undirected,247405,,,48
10747,10476,Undirected,227883,,,48
10747,11996,Undirected,246246,,,48
10829,10575,Undirected,227783,,,48
10936,10706,Undirected,228232,,,48
11269,10673,Undirected,240509,,,48
11375,10476,Undirected,231815,,,48
11557,11449,Undirected,233387,,,48
12295,11815,Undirected,235096,,,48
12297,11821,Undirected,235100,,,48
10504,10560,Undirected,254286,,,47
10526,10525,Undirected,224281,,,47
10535,10839,Undirected,225444,,,47
10541,10594,Undirected,224569,,,47
10559,10566,Undirected,236427,,,47
10559,10575,Undirected,254497,,,47
10571,10996,Undirected,235452,,,47
10577,10789,Undirected,226122,,,47
10638,11108,Undirected,227955,,,47
10679,11276,Undirected,226960,,,47
10774,11088,Undirected,240522,,,47
10829,10844,Undirected,225490,,,47
10843,10539,Undirected,228737,,,47
10843,10558,Undirected,228880,,,47
11088,11263,Undirected,256778,,,47
11254,11257,Undirected,240682,,,47
11754,11755,Undirected,239173,,,47
11755,10890,Undirected,230591,,,47
11898,12757,Undirected,252151,,,47
10487,10494,Undirected,234791,,,46
10494,10491,Undirected,234792,,,46
10521,10565,Undirected,242768,,,46
10521,10747,Undirected,241176,,,46
10537,10534,Undirected,239508,,,46
10541,10744,Undirected,228295,,,46
10558,11503,Undirected,228617,,,46
10559,10560,Undirected,254381,,,46
10559,10577,Undirected,230950,,,46
10706,10708,Undirected,237578,,,46
10747,10558,Undirected,229133,,,46
10802,10803,Undirected,232756,,,46
10827,10838,Undirected,225501,,,46
10843,10535,Undirected,228879,,,46
10844,10549,Undirected,228636,,,46
11567,10619,Undirected,243843,,,46
11815,11748,Undirected,235149,,,46
10476,11108,Undirected,227918,,,45
10521,10638,Undirected,239960,,,45
10535,10873,Undirected,228211,,,45
10541,10602,Undirected,229841,,,45
10551,10556,Undirected,230985,,,45
